"LEI, MFI code for branches",co2_ch4_n2o_scope_1_3,carbon_intensity,emission_reduction_policy,carbon_neutral_commitment,air_emissions_sox_nox_pm,land_area_affected,biodiversity_protection_actions,fsc_pefc_certified_sourcing,climate_risk_assessment_done,resilience_score,environmental_fines,iso_14001_exists,reporting_quality_score,green_product_revenue,green_buildings_area,resource_efficiency_index,total_energy_consumption,renewable_energy_share,hazardous_waste_generated,recyclable_packaging_share,toxic_spills,waste_recycled_share,water_withdrawal,emf_exposure,gmo_products,ods_emissions,safety_transparency_trials,collective_bargaining_coverage,fair_wage_gap,community_investment,health_impact_score,csr_contribution,customer_satisfaction_score,hiv_program_coverage,human_rights_violations,diversity_representation,child_labor_compliance,indigenous_consent_verification,access_to_services,healthcare_access_employees,animal_welfare_compliance,training_hours,turnover_rate,injury_frequency_rate,contract_compliance,union_membership,product_safety_compliance,responsible_marketing_compliance,supplier_audits,esg_oversight_policy,board_diversity,governance_compliance_score,esg_incentive_bonus,assurance_score,green_financing,ceo_chair_split,auditor_independence_score,ethical_breaches,anti_competitive_violations,corruption_cases,privacy_compliance,financial_inclusion,global_compact_membership,shareholder_rights_score,site_closure_plan,tax_transparency_reporting,lobby_spending,systemic_risk_level,market_price_share,market_value_equity,smallest_shareholder_name,majority_shareholder_shares,minority_shareholder_shares,outstanding_shares,largest_shareholder_pct,majority_shareholder_pct,minority_shareholder_pct,total_shares,military_connection_risk_head,asset_growth_pct,birthdate_risk_head,capital_expenditure,capital_intensity_fixed_asset,cash_and_equivalent,cash_dividend,cash_holding,cash_turnover,operation_complexity,current_ratio,debt_to_equity_ratio,depreciation,dividend_payout_ratio,dividend_per_share,eps,earnings_after_tax,ebit,earnings_quality,financial_expenses,goodwill,gross_sales,human_capital_cost,income_tax,intangible_assets,lag_inventory,lag_net_sales,ln_cash_equivalent,market_price_high,market_price_low,market_price_open,largest_shareholder_name,net_inventory,net_sales,net_working_capital,pe_ratio,reporting_currency,retained_earnings,times_interest_earned,tobins_q,z1,z2,z3,z4,z5,controlling_shareholder_info,incorporation_year,ipo_year,num_business_segments,num_employee,company_name,reporting_year,nace,asset_turnover,capital_intensity,cash_ratio,debt_maturity,debt_to_asset_ratio,operating_leverage,eat_growth,fixed_asset_intensity,gross_profit_margin,lag_cf_operating,net_cf_investing,net_cf_operating,net_profit_margin,pbv,quick_ratio,roa_eat,solvency_ratio,account_receivable,current_asset,current_liabilities,fixed_asset,inventory_turnover,lag_market_price,lag_total_asset,non_current_asset,roe_eat,total_asset,total_debt,total_equity
969500XQTL79VHO3DZ93,7.45,9.54,,TRUE,,,FALSE,,FALSE,,61.16,FALSE,28.87,4.55,77.9,54.33,,52.71,,,,85.93,64.87,,,,,17.12,84.55,32.04,85.57,70.09,30.87,88.11,,50.06,TRUE,,74.9,38.76,,89.35,,64.24,FALSE,49.85,,TRUE,FALSE,TRUE,43.04,57.43,FALSE,92.51,,TRUE,93.87,41,49,3,FALSE,24.96,TRUE,43.44,,FALSE,46.62,High,212829.46,848054.5,,10392.58,350181.01,453247.27,836381.84,479800.96,683887.08,100285.57,,930879.28,,486935.46,,977427.19,625903.62,518955.83,,,,2.028,46362.78,684307.95,144412.47,988436.51,436363.21,251795.82,2.174,324867.57,615953.47,,543913.95,611977.89,800334.37,,,83091.42,634743.35,439817.34,116286.34,Global Holdings,,,558324.37,1.492,N/A,229402.38,1.915,,,,,,,Pacific Capital,2001,2024,,,Unknown,1985,,,,3.318,371748.94,,,505239.2,,,,222850.2,317450.08,370698.85,1.526,4.033,417629.52,0.547,265959.61,384296.86,597207.15,751855.55,,,597907.4,98075.06,638204.12,50257.12,739850.81,
969500T4TDGHRQWB7P58,98.32,10.1,TRUE,TRUE,,,FALSE,,FALSE,93.31,85.36,FALSE,21.07,43.52,73.95,88.8,,,20.43,75.94,,50.34,24.28,,,,,,80.52,43.77,96.47,,,23.84,38,,TRUE,FALSE,,93.1,,69.54,77.14,7.46,TRUE,96.63,68.55,FALSE,FALSE,,75.78,19.98,FALSE,66.8,24.03,FALSE,,45,45,14,TRUE,53.75,TRUE,76.45,,FALSE,61.82,Low,399809.01,733744.52,,268077.42,46467.99,729555.67,71100.87,543864.1,522322.33,164217.12,,414541.91,,77665.3,,335781.84,768320.85,,,,0.23,2.843,525371.48,,400136.89,164308.57,,217356.23,4.114,169294.26,,,409780.51,928682.38,131207.12,,,547631.62,788778.27,857213.7,185335.08,Alpha Corp,,,99286.63,3.465,Pacific Capital,100592.16,,,,,,,,Global Holdings,1999,,446590.2,391191.87,Alpha Corp,1995,,,,1.387,911315.8,3.241,,561684.23,,,,741943.59,971731.6,220452.26,0.412,3.253,754637.46,4.892,655656.87,248859.71,252415.74,622809.08,,585564.71,718433.35,532668.14,955244.52,866868.88,,285118.63
9695003SC48YQ0POQD44,63.09,15.66,,FALSE,,,TRUE,,FALSE,,85.27,TRUE,57.36,77.47,80.26,41.25,22.35,35,71.95,73.25,,14.91,39.15,,,,,34.21,45.73,72.46,0.22,55.38,,13.66,,,TRUE,TRUE,4.77,84.41,,3.95,33.62,48.6,TRUE,45.86,45.02,TRUE,TRUE,FALSE,85.24,60.65,TRUE,63.2,,FALSE,97.61,20,25,35,FALSE,83.48,FALSE,73.96,,,91.89,,467716.32,33298.31,,215585.52,178046.83,error,363470.29,927627.6,701027.22,29761.13,,,,853933.83,,683620.64,652394.81,819452.3,,,1.079,4.907,908181.85,545792.26,108806.51,46747.73,274066.09,222300.87,,273092.71,747697.21,,177306.61,456985.4,268350.13,,,,665979.24,853733.74,664463.4,Pacific Capital,,,425621.5,4.335,,303192.09,3.061,,,,,,,N/A,1950,1958,102928.76,748806.6,Alpha Corp,,,,,,522925.26,3.815,,,,,,996201.5,293604.11,484033.51,0.924,1.841,22508.69,2.083,613300.66,212504.36,916824.56,350350.44,,589538.62,538794.29,989995.74,569198.28,27606.01,250928.03,62648.58
969500X4B1N5NA7VL398,,10.15,TRUE,TRUE,,,FALSE,,FALSE,80.36,34.42,,83.79,85.99,16.4,67.7,72.56,52.16,9.53,99.73,,51.02,1.81,,,,,,,60.68,13.29,55.51,0.41,85.73,21,37.7,FALSE,TRUE,74.03,13.63,,82.38,98.11,39.27,,72.49,72.93,TRUE,TRUE,TRUE,40.54,27.24,FALSE,80.7,12.1,TRUE,9.91,28,,0,,99.61,FALSE,88.68,,FALSE,7.12,High,766674.48,51776.85,,2757.74,659112.3,726438.6,395834.49,61052.43,103371.28,300070.13,,151913.63,,56322.69,,150662.02,489108.41,870405.7,,,,0.548,823938.49,978681.69,356928.67,,561385.51,275395.59,3.441,,55274.14,,782313.98,755757.04,6139.99,,,858038.11,33434.51,517471.58,672120.31,,,,762129.8,3.832,Unknown,663022.04,4.61,,,,,,,Unknown,2005,2015,408617.69,942771.72,Unknown,1973,,,,3.113,225939.19,1.221,,69443.73,,,,951362.56,802959.37,555835.87,1.241,3.775,857755.36,0.138,810160.33,68261.69,552697.01,370949.18,,449458.73,153346.03,141627.99,123516.77,879178.03,862812.65,287784.08
969500FPMX32U8Y45C30,13.43,40.04,TRUE,FALSE,,,TRUE,,FALSE,1.23,62.99,FALSE,,,18,17.47,42.2,26.47,31.42,18.68,,,49.06,,,,,84.34,88.87,33.57,99.12,36.2,63,36.24,9,27.62,TRUE,TRUE,98.23,,,60.16,83.59,10.24,TRUE,42.41,77.81,FALSE,FALSE,,43.17,44.89,,2.54,,FALSE,91.54,36,28,9,FALSE,88.12,FALSE,42.36,,,90.12,Medium,257999.43,486638.72,,74039.31,35532.04,35385.66,222907.69,573327.84,349483.68,108717.19,,,,241126.79,,5524.67,,353336.18,,,1.987,1.85,213331.37,370673.43,48427.94,79807.78,574470.2,16795.67,2.497,434542.77,666943.75,,937828.73,,92142.49,,,391060.05,329713.46,,747978.79,N/A,,,259980.26,3.761,N/A,508990.51,1.634,,,,,,,Alpha Corp,,1957,961355.8,352952.97,Pacific Capital,1976,,,,,519557.01,3.108,,958063.12,,,,659882.92,974348.96,457411.44,3.4,0.786,490590.84,0.868,945489.39,867922.74,337262.41,267408.84,,570801,212944.4,132481.05,637319.83,,213516.37,814807
969500T1UBNNTYVWOS04,36.26,,FALSE,TRUE,,,TRUE,,FALSE,9.37,,TRUE,51.92,36.59,89.66,65.53,53.04,30.85,41.74,44.06,,80.4,22.88,,,,,39.68,28.31,77.82,40.3,1.96,67.85,43.08,44,1.46,FALSE,TRUE,72.34,4.64,,80.04,57.77,,FALSE,6.71,24.83,TRUE,FALSE,,82.34,53.81,FALSE,40.3,73.55,TRUE,67.93,31,,41,TRUE,35.9,TRUE,46.15,,TRUE,21.36,,801746.61,861775.61,,452827.47,503997.35,199466.6,440776.18,470900.9,218768.93,587036.76,,271884.45,,488051.61,,777008.44,682421.87,271491.26,,,4.505,1.938,226779.57,435741.04,,367935.68,244148.24,688049.24,1.813,819200.79,,,665716.56,414099.96,837610.11,,,283568.27,,146644.74,268243.37,Alpha Corp,,,391454.81,2.902,Unknown,952055.12,,,,,,,,,2007,2011,838299.14,390981.71,Global Holdings,2022,,,,4.186,413849.31,1.457,,300619.27,,,,653521.9,829676.05,,4.433,2.384,719290.37,2.251,141406.29,,,140739.47,,800401.36,919321.16,167620.12,532729.24,603959.52,530729.71,338413.56
NICH5Q04ADUV9SN3Q390,45.88,,FALSE,TRUE,,,,,FALSE,,29.52,FALSE,86.64,88.72,9.47,80.44,78.39,1.12,71.07,40.28,,61.6,18.72,,,,,4.41,68.68,14.79,,26.73,,70.56,30,,FALSE,TRUE,29.95,19.3,,,36.6,26.79,TRUE,31.12,73.54,,,TRUE,99.41,,FALSE,62.7,86.38,TRUE,1.5,19,13,27,,35.07,FALSE,55.19,,FALSE,12.4,Low,,,,971829.99,226614.65,315597.15,906214.09,947750.11,567444.02,697729.1,,920306.02,,730354.05,,,679817.7,282818.39,,,1.132,2.986,,251345.77,830185.5,542112.23,729113.8,275198.87,,173010.02,,,759187.66,643551,264097.26,,,616448.22,81023.12,337844.22,481600.52,Unknown,,,832333,0.92,Global Holdings,706037.71,2.026,,,,,,,Global Holdings,1985,,459447.09,850376.63,Unknown,1977,,,,,397593.53,2.835,,,,,,253347.03,927457.37,188795.63,3.095,,7551.19,0.124,477298.55,232119.46,558522.06,825824.07,,87826.88,870038.15,33846.06,450881.29,617187.04,904417.05,602288.68
969500SGZEL04ORYBK95,77.98,39.53,TRUE,FALSE,,,FALSE,,TRUE,40.01,90.6,TRUE,72.89,7.9,86.1,45.54,14.64,,21.96,51.6,,,93.19,,,,,49.04,10.27,56.05,10.66,58.79,,48.01,32,65.14,TRUE,TRUE,37.55,,,,53.04,63.31,FALSE,34.59,28.5,FALSE,,TRUE,1.41,34.91,TRUE,44.65,39.92,FALSE,24.24,31,,1,FALSE,80.48,,7.14,,FALSE,84.22,Low,824686.68,,,457806.55,379428.9,102286.73,478461.61,311126.83,675012.31,778526.1,,,,554538.86,,914845.28,,28629.81,,,4.423,1.133,380139.93,112756.31,88078.19,312120.45,153890.16,161463.2,,813637.24,848388.05,,806577.97,198274.27,230736.72,,,,,961897.21,303046.79,N/A,,,503979.7,2.122,Pacific Capital,375503.96,3.312,,,,,,,Pacific Capital,1990,2002,46651.83,488302.25,Alpha Corp,2017,,,,0.249,559231.65,1.717,,456304.35,,,,507024.58,353443.04,,1.394,1.169,,3.017,675207.52,158507.36,867901.6,377144.45,,779789.81,689969.26,185858.58,,515877.22,944977.81,715264.84
969500OCJGH64CBUIY13,15.52,40.22,FALSE,FALSE,,,TRUE,,FALSE,58.83,51.94,TRUE,60.86,,74.84,68.93,64.53,85.48,,87.17,,21.02,9.38,,,,,20.92,49.23,,76.45,4.24,,22.36,34,80.27,FALSE,FALSE,81.89,,,,96.37,26.91,FALSE,42.11,42.48,TRUE,,TRUE,60.21,30.15,TRUE,75.64,16.83,,14.76,20,,49,FALSE,52.82,TRUE,31.7,,,56.34,,404899.67,,,999508.26,512293.87,815089.74,535543.03,401678.38,72352.83,962582.55,,176308.78,,897268.39,,167659.22,251496.38,687675.62,,,0.25,0.423,800859.05,130747.35,275864.89,832692.29,898934.71,569889.79,2.156,914156.76,234548.18,,808359.49,375525.82,40124.94,,,875502.4,871567.29,648993.76,754559.23,N/A,,,760203.97,,Unknown,825707.31,0.735,,,,,,,,1972,2012,513383.08,620211.57,Unknown,1999,,,,0.39,119433.3,4.543,,527084.55,,,,,155323.47,280569.17,0.069,,542714.58,0.18,440498.43,42163.44,799682.35,577173.55,,69352.94,159788.71,286387.22,467331.9,409030.98,765972.94,671853.82
969500A9SZ8YP1810S21,97.31,81.34,TRUE,,,,FALSE,,TRUE,36.52,54.44,TRUE,17.28,0.84,68.21,,,14.88,74.94,71.94,,,83.06,,,,,79.44,3.44,11.3,94.09,50.19,,87.65,30,35.82,FALSE,TRUE,65.4,20.51,,21.09,3.66,42.37,FALSE,0.57,70.58,FALSE,TRUE,FALSE,4.22,29.82,FALSE,31.37,,TRUE,69.25,48,19,,FALSE,26.5,FALSE,15.81,,,19.78,Low,727542.71,118999.76,,,511183.78,535957.92,934775.08,460154.59,199780.18,307707.45,,168179.79,,804369.89,,,444598.48,276927.18,,,2.603,2.99,,134431.47,516295.44,894635.43,566264.82,47228.65,3.708,998226.67,69844.1,,94190.64,943525.98,,,,,666168.22,391027.13,338337.56,N/A,,,280223.57,,,550126.36,3.133,,,,,,,Alpha Corp,2017,1978,33067.48,261906.28,Unknown,1990,,,,3.621,441725.94,2.93,,57050.69,,,,412183.49,478940.29,900353.8,3.612,0.387,48606.96,0.725,200620.41,7173.77,595601.88,238684.98,,790495.79,545956.75,890135.61,535037.63,147894.75,984178.29,118636.28
969500SJXM8MW32ZVG75,65.43,19.43,FALSE,TRUE,,,FALSE,,,62.95,87.11,,21.17,69.53,,28.78,,62.32,9.13,52.84,,62.9,96.22,,,,,,58.74,34.21,39.86,68,51.66,15.1,,0.4,FALSE,FALSE,97.49,,,63.9,,1.87,FALSE,14.18,0.27,,FALSE,,88.27,,FALSE,10.74,,FALSE,1.63,29,36,33,FALSE,58.19,FALSE,,,TRUE,30.59,,768351.77,542480.01,,250520.75,338211.53,291465.54,473305.65,951086.67,199917.16,,,628591.91,,50794.33,,443882.42,,466524.29,,,0.903,1.333,876804.43,562808.32,398182.71,330944.85,468439.82,,0.35,98571.56,,,534836.43,104612.96,,,,570245.35,645072.09,70523.45,20626.54,Global Holdings,,,662815.23,0.095,Pacific Capital,835563.52,0.101,,,,,,,,1992,1956,720456.04,808391.72,N/A,,,,,,556665.44,1.912,,41165.66,,,,281788.9,558006.9,423203.71,3.962,1.52,828814.89,4.386,988652.63,716637.85,484255.45,580556.22,,620764.55,504222.32,673411.77,862986.06,729050.04,506819.69,472740.84
9695005B0IXNAZ11QL51,29.32,14.22,FALSE,TRUE,,,FALSE,,TRUE,23.5,,TRUE,17.07,,98.75,,6.39,,,19.17,,75.87,24.16,,,,,,51.56,,59.34,58.38,31.93,18.8,28,18.64,TRUE,FALSE,31.4,,,84.52,27.59,86.52,,2.9,64.07,TRUE,FALSE,,61.36,29.2,TRUE,6.04,85.43,FALSE,99.13,48,10,9,,26.8,,99.06,,,26.76,Medium,,,,,897242.18,100468.55,894978.55,,155813.01,20374.12,,464476.8,,789229.48,,435530.46,473634.9,155384.91,,,3.738,,820372.55,,262838.39,52204.05,229162.84,422169.38,,851209.27,,,310433.85,997052.43,,,,952344.66,904879.84,357119.33,639835.16,Pacific Capital,,,167216.41,3.227,Unknown,,4.563,,,,,,,Global Holdings,1959,1963,343225.74,245091.16,Alpha Corp,1988,,,,,913946.71,0.271,,81754.97,,,,280022.08,905172.12,,4.605,4.126,987813.63,2.924,740954,770662.28,808957.36,,,903951.76,351214.12,988191.85,394698.55,334188.57,203051.93,
9695001WIZU5SWHBP423,14.61,,TRUE,FALSE,,,FALSE,,TRUE,82.56,84.64,FALSE,58.5,,999.2,71.75,20.45,59.52,13.73,37.26,,60.79,4.01,,,,,98.04,60.47,34.24,60.14,40.43,,14.8,,,FALSE,TRUE,39.55,80.4,,46.15,16.64,96.64,TRUE,70.74,65.87,FALSE,TRUE,FALSE,,,TRUE,70.57,17.24,FALSE,35.58,7,14,6,FALSE,10.84,TRUE,51.88,,FALSE,52.23,Low,536139.09,755351.07,,325582.59,650.93,248225.77,943001.57,850991.78,248194.94,230265.88,,387249.65,,231606.08,,486709.43,682756.39,209605.2,,,1.175,,,196705.98,,959926.46,270914.72,536030.64,,936146.46,162716.87,,97446.96,92777.89,488405.65,,,558960.87,,986085.55,888883.56,Alpha Corp,,,222988.52,4.983,,603978.39,4.225,,,,,,,,2011,2015,63430.64,992895.02,Pacific Capital,1959,,,,2.207,851656.36,1.91,,836621.75,,,,176276.89,584592.92,522017.05,0.963,2.54,137496.13,3.359,,,,872000.7,,631750.45,232134.64,471118.08,547275.37,640943.71,182393.78,516475.21
9695009GVHASHCJ1D122,71.78,25.72,TRUE,,,,FALSE,,FALSE,74.11,95.63,FALSE,47.88,,37.76,29.1,25.38,42.93,,64.12,,78.32,62.6,,,,,,,83.33,,37.37,48.46,16.17,12,,TRUE,TRUE,40.4,27.47,,7.92,12.23,24.01,FALSE,19.7,44.08,,TRUE,TRUE,,,TRUE,94.62,29.53,FALSE,2.24,30,12,34,FALSE,87.35,,28.27,,FALSE,76.64,High,631330.24,621575.64,,925405.09,867905.42,,419646.83,367876.32,899078.13,25248.33,,387995.39,,920224.75,,151538.07,278069.32,627356.62,,,0.501,4.452,486446.65,709795.64,86370.79,,51614.83,970958.2,4.087,691134.26,,,,628882.07,73909.87,,,637786.15,,194732.06,585639.26,Alpha Corp,,,883086.1,2.565,Unknown,742762.98,1.057,,,,,,,Unknown,,2024,768083.01,548294.54,,,,,,0.613,916744.35,,,484639.42,,,,616511.14,509209.97,442770.77,1.863,0.03,923882.77,4.627,539804.36,187410.02,480863.98,395087.27,,,760078.14,276927.58,,990458.16,538017.6,437654.34
969500L38QMPKJ554U34,66.05,,TRUE,TRUE,,,TRUE,,TRUE,68.28,17.05,TRUE,41.07,,99.07,71.36,99.81,,83.67,72.34,,,32.21,,,,,41.02,93.25,,,73.68,26.95,14.13,31,60.52,,FALSE,29.12,55.66,,,31.08,28.21,TRUE,,49.32,FALSE,FALSE,FALSE,19.37,68,FALSE,18.39,75.89,TRUE,57.04,17,40,2,TRUE,77.61,TRUE,68.17,,TRUE,,Low,,366350.77,,581303.53,828582.61,396022.63,,620944.52,680032.51,309141.74,,825677.14,,315147.53,,376552.97,,362159.82,,,,0.962,305630.67,248738.18,245380.4,,977067.4,733706.89,0.874,279738.03,876047.75,,94777.83,739129.72,314478.73,,,445634.57,,944421.93,715138.73,,,,186767.71,4.338,,54811.27,4.874,,,,,,,,2002,1987,689614.19,,Global Holdings,2001,,,,3.253,920893.65,1.902,,201644.17,,,,837349.22,580232.34,788570.19,0.827,,498063.3,0.311,81306.6,865066.62,66049.38,950224.37,,131738.29,621750.58,668285.85,754785.77,324179.34,242869.92,988152.87
969500VR2NA6ANMTXH21,,,TRUE,FALSE,,,TRUE,,TRUE,85.87,92.13,,74.11,4.6,87.44,,82.15,91.72,43.67,73.42,,0.35,,,,,,16.84,,71.73,84.78,3.11,,6.64,38,,,TRUE,47.21,80.42,,81.23,69.2,6.64,FALSE,43.93,41.5,FALSE,TRUE,TRUE,32.25,79.1,FALSE,,59.3,,74.53,40,43,8,FALSE,9.51,TRUE,47.59,,FALSE,39.28,Low,494050.06,620710.37,,369395.72,263326.8,890995.03,371709.87,199070.81,728813.31,237262.51,,429817.31,,592918.36,,611898.51,,598297.89,,,1.848,0.471,578025.93,289455.33,311120.59,608615.78,743852.86,,,195967.22,227806.08,,,443121.58,572387.8,,,952692.82,156395.75,165483.91,5241.18,Unknown,,,9905.53,,N/A,472606,2.161,,,,,,,,1953,,914208.66,433397.3,Alpha Corp,2008,,,,1.587,903129.13,0.147,,271391.8,,,,488510.42,,930257.24,3.274,2.979,452915.28,2.657,460705.52,41238.02,797623.71,748269.55,,245915.43,365759.85,,31532.4,456527.19,953533.06,108484.51
9695001BN7B574TIZH43,41.69,80.56,FALSE,TRUE,,,FALSE,,TRUE,76.29,96.34,FALSE,,,76.34,4.1,16.42,10.48,37.67,37.69,,46.65,20.39,,,,,79.36,16.49,54.16,32.68,56.13,15.16,39.43,39,,TRUE,TRUE,83.73,14.32,,96.52,66.27,62.1,FALSE,98.95,,FALSE,TRUE,TRUE,50.46,7.29,TRUE,0.55,2.07,FALSE,87.02,23,8,24,FALSE,59.36,FALSE,,,TRUE,,Low,,385540.03,,256838.94,152251.51,130812.77,510747.68,52303.73,321117.16,251647.43,,187091.37,,478623.71,,889781.86,267968.38,633179.14,,,0.455,2.191,373806.68,,779136.51,855836.13,17664.13,432573.62,3.414,854343.22,807343.01,,176414.39,375237.42,651425.65,,,515984.67,315076.98,429035.03,,N/A,,,186312.23,1.824,Unknown,,4.815,,,,,,,Alpha Corp,1978,2012,647496.6,63478.63,Pacific Capital,1974,,,,,80272.05,,,979497.28,,,,360137.16,709375.86,131461.35,1.416,3.664,956335.43,,374071.49,71254.97,858781.84,126332.82,,410475.12,656464.01,756096.61,303827.38,440699.26,170373.5,595990.58
969500JJWO4PQG0R1C58,93.36,29.84,FALSE,FALSE,,,FALSE,,TRUE,90.68,58.94,FALSE,33.6,93.36,17.67,79.48,,34.23,96.6,,,,15.53,,,,,51.96,86.85,66.91,35.11,13.17,,,21,25.04,FALSE,TRUE,13.58,96.83,,34.25,69.94,46.4,TRUE,,36.65,TRUE,TRUE,FALSE,,39.84,,43.92,64.98,TRUE,82.11,12,20,34,FALSE,40.56,TRUE,77.99,,,94.54,Low,140405.3,37877.91,,184065.31,31562.75,706412.08,664772.62,,,,,236424.38,,198173.99,,900775.52,429261.55,237204.24,,,4.888,,286970.31,956072.06,933838.1,50664.47,673005.67,640881.69,2.774,745443.59,112829.22,,411047.25,876282.11,248828.61,,,978333.19,702799.12,29266.34,248174.53,Alpha Corp,,,545560.68,1.927,Unknown,156764.09,2.81,,,,,,,Global Holdings,2019,1978,594475.14,615156.26,Pacific Capital,,,,,,,,,475455.6,,,,611368.82,414604.42,65830.3,1.876,,124131.22,4.632,676720.32,626406.93,205580.64,586244.75,,798753.05,116341.01,273535,513872.6,588743.57,290278.31,675792.66
969500GIUTUIEDJHFL17,,88.41,FALSE,FALSE,,,FALSE,,FALSE,69.48,89.89,FALSE,76.19,89.87,1.27,63.08,17.62,52.75,67.53,37.52,,,86.48,,,,,39.17,53.89,,7.21,77.73,16.85,83.9,20,32.22,FALSE,FALSE,64.22,13.56,,32.26,13.94,31.52,FALSE,41.59,71.45,TRUE,,,62.26,7.79,FALSE,41.67,85.01,,,8,15,26,FALSE,58.23,TRUE,78.78,,TRUE,11.24,Medium,75921.34,,,555064.22,17121.97,851577.65,244262.76,572458.79,647002.98,538930.85,,756319.96,,808927.61,,555846.03,487213.64,858858.51,,,1.743,0.426,885038.32,608957.16,465704.96,,158458.15,51241,2.666,870427.23,161799.44,,52366.45,428534.86,883895.89,,,936257.69,842676.43,553025.89,889331.68,Alpha Corp,,,371559.58,1.85,Pacific Capital,,4.18,,,,,,,Global Holdings,1993,1981,190693.19,534462.47,Unknown,,,,,2.881,150007.18,3.758,,116199.82,,,,198110.31,,,4.922,3.228,37897.61,3.019,469021.73,200881.98,211744.06,604368.06,,627030.23,438715.97,,667470.04,240501.44,931868.12,681913.81
969500W34S6NCZWYBV47,3.16,91.39,FALSE,,,,TRUE,,FALSE,17.76,72.93,,9.11,8.1,,46.84,11.9,21.85,,12.61,,4.56,89.51,,,,,,9.63,,52.14,29.74,39.12,23.02,14,,FALSE,TRUE,43.18,83.08,,5.93,70.56,,TRUE,87.51,88.32,FALSE,TRUE,TRUE,,3.94,FALSE,89.48,13.13,,90.79,13,21,31,,17.6,TRUE,38.63,,TRUE,66.73,Low,150268.67,592139.08,,539307.38,998352.99,313344.19,814136.17,285126.07,150566.49,272722.92,,904318.65,,801350.67,,344235.53,140150.97,545177.32,,,,3.428,686749.16,372735.09,497578.16,,404458.73,579483.63,2.158,553795.87,582813.56,,474636.74,242288.44,498923.59,,,318453.72,,,573014.54,Pacific Capital,,,313646.94,0.389,,218829.22,1.129,,,,,,,Pacific Capital,1961,2020,,988577.75,Pacific Capital,1985,,,,0.525,924565.65,2.339,,,,,,995578.14,546226.78,771986.14,2.61,4.395,636678.73,2.695,100715.72,,464497.09,128911.78,,983418.61,622101.27,245502.03,903430.72,151509.07,157989.61,464870.06
969500XVHN9Z1Z1Y1358,72.93,90.11,TRUE,FALSE,,,,,TRUE,27.11,15.17,FALSE,98.55,72.59,20.84,28.77,65.93,58.49,48.49,10.37,,58.07,85.48,,,,,35.27,25.07,,51.17,79.96,19.45,50.02,42,,,TRUE,,26.35,,62.06,7.7,9.26,FALSE,24.28,91.03,FALSE,,TRUE,41.62,18.37,FALSE,,81.99,TRUE,84.73,2,43,11,FALSE,59.08,FALSE,73.97,,,35.8,,702208.39,816126.06,,667555.7,39727.27,529295.89,806468.33,620622.37,75993.47,650223.32,,626107.29,,332596.43,,989341.33,348313.73,201921.03,,,4.636,4.595,653998.96,53666.8,502166.2,544751.75,476674.97,338204.03,1.934,,593798.83,,751829.27,650761.79,323731.52,,,34486.78,,776354.52,169322.1,Unknown,,,943284.86,3.497,Alpha Corp,494970.6,3.749,,,,,,,Alpha Corp,1954,1957,977829.87,517362.29,Unknown,1964,,,,3.661,536385.99,3.993,,588462.04,,,,993426.46,667668.57,52880.73,0.029,4.101,738360.82,0.453,322585.42,516727.58,547419.28,746157.37,,881842.56,233996.6,270150.48,185009.54,988477.48,18109.13,562026.56
9695006UH4BR9VH36947,80.53,44.9,FALSE,FALSE,,,TRUE,,FALSE,96.49,9.97,FALSE,67.08,,89.99,13.2,41.08,71.14,,24.37,,27.68,57.05,,,,,84.94,3.91,93.88,31.89,57.64,66.14,2.85,31,69.5,FALSE,FALSE,19.31,85.7,,28.12,4.95,88.76,TRUE,12.03,77.93,FALSE,FALSE,TRUE,81.92,73.48,FALSE,60.39,35.58,FALSE,,29,30,28,FALSE,24.69,TRUE,9.47,,,64.17,Medium,947445.04,642145.89,,,200194.77,,213397.16,121539.12,3524.07,794942.74,,668563.27,,203846.45,,162271.09,867826.84,255895.86,,,0.834,4.914,243123.83,,418275.16,231543.09,865448.76,,0.215,799048.31,761019.68,,458730.82,144608.73,594493.76,,,161265.26,972036.34,349875.5,107353.23,Global Holdings,,,112911.24,0.372,Unknown,491588.2,0.995,,,,,,,Alpha Corp,1999,2006,,774021.54,Global Holdings,2023,,,,0.879,151772.49,3.953,,9900.51,,,,153591.38,217258.49,37269.79,2.094,,623244.88,3.961,100564.95,492883.73,189776.4,567367.22,,330818.85,351821.14,285941.54,,224597.77,129645.21,735295.73
